0,-21.85,41.02,971.92,39.06,28.69,7.32
1,-19.29,38.57,971.44,38.45,29.30,8.54
2,-19.53,40.65,972.29,39.67,31.13,8.54
0,-21.24,40.04,971.31,39.67,28.69,7.32
1,-24.54,39.55,972.17,37.84,29.91,9.16
2,-24.29,39.92,970.83,39.06,31.13,7.93
0,-21.48,39.43,970.70,39.67,30.52,7.93
1,-20.63,40.04,970.95,39.06,29.91,7.32
2,-23.07,38.33,970.09,39.06,29.91,7.93
0,-22.83,39.31,971.19,38.45,29.91,7.93
1,-23.07,39.92,973.14,39.06,29.30,8.54
2,-22.22,38.45,972.53,37.84,31.13,8.54
0,-20.87,40.41,971.56,38.45,29.91,7.93
1,-19.90,40.04,969.48,39.06,30.52,7.93
2,-22.34,39.06,973.02,39.67,29.91,8.54
0,-25.39,38.45,969.97,39.67,29.91,9.16
1,-24.66,36.62,974.00,39.06,29.91,7.93
2,-23.19,41.87,972.90,39.67,29.30,8.54
0,-20.51,37.60,970.70,37.23,28.69,8.54
1,-22.46,40.16,973.63,38.45,29.30,9.16
2,-22.34,38.70,971.31,39.67,30.52,9.16
0,-23.32,39.43,969.60,37.84,31.13,7.93
1,-21.61,38.45,971.44,37.84,29.91,7.93
2,-22.58,40.28,970.46,37.84,29.30,7.93
0,-20.39,39.18,973.27,39.06,31.74,7.93
1,-23.07,39.31,971.80,38.45,31.13,6.71
2,-23.80,39.18,970.70,37.84,31.13,9.16
0,-22.95,38.70,970.21,39.06,29.91,7.93
1,-21.12,40.53,972.29,39.06,30.52,9.16
2,-22.46,39.06,970.83,39.06,30.52,8.54
0,-22.83,41.50,970.83,39.06,31.13,8.54
1,-24.29,37.96,971.19,38.45,31.13,7.93
2,-19.29,39.92,970.34,38.45,31.13,7.32
0,-16.60,41.87,970.83,38.45,30.52,9.16
1,-21.97,38.45,970.58,38.45,31.13,8.54
2,-27.59,38.82,970.70,39.67,30.52,8.54
0,-25.02,37.48,970.09,38.45,30.52,7.93
1,-22.34,40.04,973.63,39.67,28.69,9.16
2,-20.63,40.65,973.39,39.67,29.30,7.32
0,-22.09,40.77,972.90,39.06,29.30,7.93
1,-24.66,37.84,970.34,40.28,29.30,7.32
2,-25.02,36.99,970.21,37.23,29.91,10.38
0,-23.32,39.92,970.34,38.45,29.91,9.16
