0,-22.95,43.46,974.00,37.84,26.86,4.27,-21.66,51.40,-60.61,-1.33,2.56
1,-22.95,42.85,974.00,36.01,28.08,4.27,-21.81,51.27,-59.89,-1.33,2.52
2,-23.07,42.60,974.61,37.84,28.08,3.66,-21.87,51.50,-61.47,-1.33,2.51
0,-22.46,42.60,973.88,36.01,28.69,5.49,-21.92,51.72,-60.63,-1.30,2.51
1,-22.71,42.60,974.37,37.23,27.47,4.27,-22.27,51.87,-60.91,-1.31,2.51
2,-22.95,42.97,973.14,36.01,28.69,4.27,-21.84,51.42,-61.80,-1.33,2.54
0,-23.19,42.48,973.63,37.23,30.52,3.66,-22.29,51.87,-61.85,-1.34,2.50
1,-22.22,42.48,973.88,36.01,28.08,4.27,-22.41,51.40,-60.06,-1.28,2.51
2,-23.07,42.11,974.24,37.84,28.69,4.27,-21.73,51.81,-60.57,-1.33,2.48
0,-22.95,42.60,973.75,37.23,28.69,4.27,-22.50,51.84,-59.94,-1.33,2.51
1,-22.34,42.24,973.63,36.62,28.69,3.66,-22.11,51.27,-60.96,-1.29,2.49
2,-22.83,42.97,974.37,37.84,29.30,4.27,-21.45,51.66,-60.90,-1.32,2.53
0,-22.22,43.58,973.75,38.45,29.30,3.66,-22.09,51.49,-60.93,-1.28,2.57
1,-22.22,43.33,974.37,37.23,28.08,3.66,-22.31,51.17,-60.68,-1.28,2.55
2,-22.22,43.09,973.51,36.01,29.91,5.49,-22.09,51.28,-60.74,-1.28,2.54
0,-21.85,42.97,973.75,38.45,29.30,3.66,-22.20,51.32,-60.21,-1.26,2.54
1,-22.58,42.85,973.63,36.62,29.91,5.49,-22.33,51.38,-60.16,-1.31,2.53
2,-22.58,42.85,973.39,37.84,30.52,6.71,-22.33,51.33,-60.52,-1.31,2.53
0,-22.46,43.21,973.63,36.62,28.69,4.88,-22.17,51.23,-61.00,-1.30,2.55
1,-23.19,43.33,973.14,37.84,29.30,3.66,-22.55,51.17,-61.11,-1.34,2.56
2,-21.61,43.21,974.12,39.06,29.30,4.27,-22.33,50.84,-61.44,-1.25,2.55
0,-22.09,42.60,973.75,37.84,28.69,4.88,-21.98,50.84,-61.29,-1.28,2.51
1,-23.07,41.87,974.00,37.23,30.52,3.66,-22.01,51.71,-60.61,-1.33,2.47
2,-22.34,43.33,975.34,35.40,29.30,4.27,-21.94,51.46,-60.90,-1.29,2.55
0,-22.46,42.48,973.63,37.23,28.69,3.66,-22.31,51.54,-60.80,-1.30,2.51
1,-21.97,44.19,973.51,37.84,31.13,5.49,-22.67,51.17,-59.92,-1.27,2.61
2,-21.73,43.46,973.88,38.45,28.08,5.49,-22.58,51.61,-59.69,-1.25,2.56
0,-21.85,43.58,973.39,38.45,29.91,5.49,-21.92,51.42,-60.71,-1.26,2.57
1,-22.09,43.46,973.75,37.84,29.30,4.88,-22.03,51.37,-60.40,-1.28,2.56
2,-22.83,42.36,974.24,37.23,28.69,4.27,-22.28,51.18,-60.68,-1.32,2.50
0,-21.85,42.97,974.00,39.67,29.30,4.27,-22.38,51.94,-60.34,-1.26,2.54
